servicedate,line,estimated_boardings
2020-08-20,Fitchburg,697
2020-08-20,Framingham/Worcester,1533
2020-08-20,Franklin/Foxboro,1424
2020-08-20,Greenbush,387
2020-08-20,Haverhill,712
2020-08-20,Kingston,705
2020-08-20,Lowell,909
2020-08-20,Middleborough/Lakeville,1039
2020-08-20,Needham,879
2020-08-20,Newburyport/Rockport,1751
2020-08-20,Providence/Stoughton,3124
2020-08-21,Fairmount,466
2020-08-21,Fitchburg,644
2020-08-21,Framingham/Worcester,1356
2020-08-21,Franklin/Foxboro,1292
2020-08-21,Greenbush,321
2020-08-21,Haverhill,631
2020-08-21,Kingston,648
2020-08-21,Lowell,857
2020-08-21,Middleborough/Lakeville,850
2020-08-21,Needham,751
2020-08-21,Newburyport/Rockport,1752
2020-08-21,Providence/Stoughton,3024
2020-08-24,Fairmount,493
2020-08-24,Fitchburg,642
2020-08-24,Framingham/Worcester,1323
2020-08-24,Franklin/Foxboro,1290
2020-08-24,Greenbush,321
2020-08-24,Haverhill,685
2020-08-24,Kingston,732
2020-08-24,Lowell,913
2020-08-24,Middleborough/Lakeville,975
2020-08-24,Needham,767
2020-08-24,Newburyport/Rockport,1634
2020-08-24,Providence/Stoughton,3178
2020-08-25,Fairmount,465
2020-08-25,Fitchburg,665
2020-08-25,Framingham/Worcester,1260
2020-08-25,Franklin/Foxboro,1433
2020-08-25,Greenbush,386
2020-08-25,Haverhill,774
2020-08-25,Kingston,742
2020-08-25,Lowell,848
2020-08-25,Middleborough/Lakeville,901
2020-08-25,Needham,797
2020-08-25,Newburyport/Rockport,1588
2020-08-25,Providence/Stoughton,2992
2020-08-26,Fairmount,447
2020-08-26,Fitchburg,759
2020-08-26,Framingham/Worcester,1460
2020-08-26,Franklin/Foxboro,1482
2020-08-26,Greenbush,355
2020-08-26,Haverhill,798
2020-08-26,Kingston,749
2020-08-26,Lowell,1032
2020-08-26,Middleborough/Lakeville,870
2020-08-26,Needham,750
2020-08-26,Newburyport/Rockport,1789
2020-08-26,Providence/Stoughton,3073
2020-08-27,Fairmount,459
